src,dst
0,94
0,115
0,598
0,637
0,1168
0,1195
0,1772
0,1947
0,2005
0,2055
0,2108
0,2174
0,2391
0,2406
0,3036
0,3456
0,3466
0,3479
0,3946
0,4060
0,4645
0,4882
1,247
1,401
1,407
1,458
1,576
1,764
1,1143
1,1190
1,1451
1,1465
1,1612
1,2020
1,2266
1,2371
1,2724
1,2725
1,3705
1,3955
1,4010
1,4235
1,4309
1,4310
1,4631
2,792
2,972
2,1011
2,1029
2,1400
2,1664
2,1760
2,1767
2,1820
2,2042
2,2378
2,2527
2,2568
2,2620
2,2785
2,3663
2,3683
2,4028
2,4105
2,4267
2,4489
2,4570
2,4583
2,4807
2,4963
3,40
3,94
3,372
3,403
3,423
3,451
3,491
3,530
3,959
3,1109
3,1121
3,1667
3,2036
3,2051
3,2102
3,2115
3,2321
3,2670
3,2734
3,2850
3,2877
3,3008
3,3058
3,3223
3,3511
3,3729
3,3801
3,4023
4,200
4,253
4,634
4,1006
4,1023
4,1314
4,1442
4,1538
4,1699
4,2283
4,2328
4,2672
4,2773
4,3385
4,3396
4,3446
4,3564
4,3608
4,3838
4,3866
4,3908
4,3963
4,4201
4,4442
4,4729
4,4814
5,159
5,261
5,1264
5,1393
5,1696
5,1846
5,2129
5,2203
5,2356
5,2381
5,2414
5,2530
5,2556
5,3173
5,3497
5,3522
5,3634
5,4327
5,4529
5,4770
6,26
6,39
6,446
6,538
6,631
6,757
6,889
6,1687
6,2068
6,2291
6,2419
6,2487
6,2944
6,2987
6,3102
6,3105
6,3128
6,3462
6,3719
6,4029
6,4083
6,4366
6,4619
6,4641
7,11
7,144
7,181
7,476
7,658
7,1143
7,1180
7,1379
7,1400
7,1767
7,1854
7,1946
7,2042
7,2065
7,2240
7,2251
7,2729
7,2867
7,3072
7,3773
7,4010
7,4188
7,4230
7,4392
7,4408
7,4689
7,4944
8,475
8,662
8,1207
8,1382
8,1415
8,1568
8,1689
8,1882
8,1946
8,2146
8,2235
8,2511
8,2686
8,3125
8,3248
8,3452
8,3617
8,4034
8,4240
8,4570
8,4622
8,4745
8,4974
9,37
9,536
9,581
9,604
9,659
9,789
9,802
9,953
9,983
9,1072
9,1983
9,2128
9,2294
9,2365
9,2373
9,2397
9,2832
9,2954
9,3322
9,3587
9,3741
9,4196
9,4260
9,4482
9,4520
10,307
10,409
10,724
10,797
10,959
10,1077
10,1100
10,1132
