src,dst
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,20
0,21
0,22
0,23
0,24
0,25
0,32
0,34
0,35
0,38
0,39
0,41
0,42
0,46
0,47
0,48
0,50
0,51
0,54
0,56
0,59
0,61
0,62
0,71
0,72
0,74
0,80
0,82
0,84
0,88
0,94
0,99
0,103
0,110
0,115
0,125
0,127
0,128
0,130
0,131
0,144
0,156
0,159
0,166
0,171
0,181
0,183
0,204
0,210
0,218
0,225
0,228
0,231
0,235
0,243
0,245
0,247
0,251
0,259
0,260
0,273
0,298
0,316
0,338
0,343
0,389
0,391
0,398
0,400
0,411
0,422
0,426
0,429
0,432
0,436
0,440
0,456
0,470
0,486
0,493
0,517
0,519
0,523
0,537
0,541
0,542
0,562
0,563
0,564
0,568
0,570
0,571
0,581
0,590
0,606
0,613
0,614
0,617
0,623
0,630
0,631
0,636
0,649
0,656
0,660
0,669
0,670
0,681
0,695
0,703
0,711
0,719
0,733
0,738
0,741
0,750
0,773
0,776
0,781
0,793
0,798
0,808
0,812
0,861
0,912
0,928
0,946
0,956
0,958
0,962
0,963
0,966
0,984
0,985
0,996
0,1009
0,1026
0,1029
0,1031
0,1044
0,1050
0,1063
0,1064
0,1075
0,1101
0,1122
0,1132
0,1135
0,1149
0,1157
0,1175
0,1187
0,1206
0,1231
0,1257
0,1263
0,1268
0,1273
0,1284
0,1305
0,1386
0,1399
0,1404
0,1436
0,1456
0,1478
0,1486
0,1487
0,1504
0,1557
0,1572
0,1580
0,1587
0,1593
0,1602
0,1655
0,1689
0,1722
0,1752
0,1767
0,1775
0,1790
0,1792
0,1812
0,1818
0,1833
0,1834
0,1840
0,1920
0,1947
0,1954
0,1958
0,1983
0,1990
0,1995
0,2007
0,2011
0,2021
0,2043
0,2064
0,2089
0,2134
0,2149
0,2185
0,2196
0,2198
0,2242
0,2270
0,2365
0,2378
0,2400
0,2408
0,2423
0,2440
0,2442
0,2454
0,2478
0,2517
0,2530
0,2534
0,2559
0,2560
0,2598
0,2645
0,2647
0,2666
0,2667
0,2691
0,2698
0,2718
0,2725
0,2726
0,2729
0,2754
0,2757
0,2764
0,2784
0,2813
0,2830
0,2844
0,2881
0,2883
0,2892
0,2909
0,2932
0,2987
0,3002
0,3017
0,3037
0,3045
0,3058
0,3066
0,3068
0,3116
0,3138
0,3196
0,3236
0,3280
0,3336
0,3338
0,3364
0,3367
0,3435
0,3459
0,3475
0,3516
0,3523
0,3611
0,3627
0,3649
0,3694
0,3707
0,3719
0,3742
0,3752
0,3774
0,3836
0,3890
0,3893
0,3929
0,3936
0,3946
0,3955
0,3967
0,3972
0,4027
0,4089
0,4152
0,4202
0,4211
0,4220
0,4229
0,4270
0,4317
0,4362
0,4363
0,4397
0,4398
0,4457
0,4478
0,4507
0,4556
0,4613
0,4623
0,4642
0,4648
0,4708
0,4722
0,4739
0,4836
0,4880
0,4897
0,4931
0,4935
0,4941
0,4988
1,11
1,12
1,13
1,14
1,15
1,16
1,18
1,20
1,24
1,26
1,27
1,28
1,32
1,33
1,34
1,35
1,38
1,39
1,43
1,44
1,45
1,48
1,58
1,68
1,71
1,73
1,89
1,97
1,113
1,124
1,126
1,138
1,139
1,142
1,180
1,184
1,187
1,195
1,216
1,232
1,249
1,257
1,270
1,286
1,291
1,299
1,323
1,326
1,327
1,332
1,404
1,406
1,410
1,418
1,419
1,488
1,490
1,509
1,603
1,651
1,655
1,658
1,663
1,672
1,680
1,719
1,759
1,778
1,798
1,824
1,862
1,981
1,993
1,1064
1,1189
1,1193
1,1213
1,1221
1,1243
1,1255
1,1256
1,1262
1,1264
1,1288
1,1359
1,1373
1,1495
1,1513
1,1543
1,1551
1,1561
1,1645
1,1670
1,1714
1,1766
1,1789
1,1825
1,1831
1,1849
1,1861
1,1895
1,1909
1,1942
1,1962
1,1978
1,1993
1,2001
1,2007
1,2117
1,2314
1,2316
1,2326
1,2345
1,2347
1,2402
1,2408
1,2421
1,2512
1,2653
1,2759
1,2782
1,2855
1,2881
1,3045
1,3063
1,3165
1,3184
1,3231
1,3233
1,3266
1,3364
1,3375
1,3387
1,3417
1,3431
1,3541
1,3543
1,3611
1,3682
1,3695
1,3739
1,3745
1,3747
1,3878
1,3913
1,4006
1,4030
1,4125
1,4203
1,4216
1,4257
1,4322
1,4487
1,4542
1,4571
1,4589
1,4710
1,4731
1,4743
1,4847
1,4988
1,4993
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,18
2,19
2,21
2,23
2,24
2,27
2,29
2,30
2,31
2,32
2,37
2,41
2,43
2,46
2,50
2,53
2,55
2,56
2,60
2,70
2,72
2,75
2,83
2,93
2,96
2,104
2,117
2,122
2,124
2,132
2,133
2,138
2,150
2,161
2,168
2,170
2,182
2,194
2,196
2,205
2,216
2,220
2,221
2,226
2,230
2,254
2,280
2,287
2,290
2,302
2,309
2,314
2,324
2,330
2,334
2,335
2,349
2,395
2,401
2,403
2,406
2,434
2,460
2,474
2,483
2,508
2,509
2,513
2,542
2,558
2,621
2,636
2,637
2,638
2,643
2,678
2,692
2,728
2,740
2,783
2,799
2,817
2,818
2,823
2,851
2,857
2,886
2,913
2,916
2,933
2,936
2,956
2,982
2,989
2,1006
2,1017
2,1019
2,1039
2,1068
2,1090
2,1120
2,1121
2,1157
2,1188
2,1204
2,1209
2,1223
2,1242
2,1253
2,1300
2,1338
2,1342
2,1513
2,1516
2,1523
2,1525
2,1558
2,1587
2,1613
2,1657
2,1676
2,1699
2,1764
2,1801
2,1830
2,1866
2,1899
2,1906
2,1921
2,1961
2,1996
2,2062
2,2065
2,2099
2,2131
2,2141
2,2156
2,2194
2,2222
2,2247
2,2264
2,2273
2,2308
2,2320
2,2350
2,2416
2,2428
2,2485
2,2497
2,2547
2,2570
2,2571
2,2575
2,2579
2,2597
2,2598
2,2610
2,2635
2,2646
2,2656
2,2664
2,2683
2,2728
2,2729
2,2812
2,2817
2,2897
2,2922
2,2938
2,2942
2,2961
2,3018
2,3031
2,3051
2,3092
2,3120
2,3122
2,3124
2,3157
2,3190
2,3192
2,3270
2,3289
2,3351
2,3415
2,3430
2,3447
2,3463
2,3490
2,3506
2,3513
2,3558
2,3571
2,3680
2,3715
2,3720
2,3779
2,3820
2,3831
2,3849
2,3886
2,3916
2,3952
2,4012
2,4039
2,4061
2,4074
2,4089
2,4100
2,4191
2,4217
2,4257
2,4277
2,4303
2,4316
2,4332
2,4368
2,4391
2,4397
2,4409
2,4449
2,4587
2,4601
2,4630
2,4646
2,4668
2,4677
2,4685
2,4736
2,4829
2,4842
2,4908
2,4911
2,4914
2,4917
2,4963
2,4995
3,11
3,12
3,16
3,28
3,35
3,36
3,57
3,119
3,157
3,188
3,236
3,274
3,282
3,291
3,396
3,584
3,652
3,683
3,756
3,781
3,1005
3,1309
3,1642
3,1781
3,1869
3,1871
3,1948
3,2102
3,2455
