src,dst
0,49
0,93
0,503
0,524
0,729
0,776
0,840
0,872
0,880
1,531
1,552
1,558
1,568
1,639
2,63
2,226
2,315
2,537
2,726
2,818
3,15
3,427
3,612
3,629
3,674
3,732
3,734
3,813
3,977
4,48
4,121
4,301
4,366
4,454
4,456
4,605
4,690
4,745
4,783
4,991
5,83
5,281
5,282
5,350
5,619
5,826
5,841
5,870
6,242
6,302
6,414
6,520
6,576
6,610
6,624
6,696
6,705
6,718
6,915
6,942
6,969
6,985
7,177
7,181
7,217
7,255
7,553
7,609
7,699
7,773
8,42
8,53
8,80
8,177
8,296
8,360
8,515
8,598
8,608
8,671
8,762
8,815
8,839
8,883
8,997
9,53
9,133
9,216
9,287
9,341
9,660
9,669
9,695
10,169
10,182
10,351
10,369
10,383
10,428
10,445
10,530
10,555
10,707
10,709
10,830
10,932
11,133
11,134
11,159
11,197
11,472
11,562
11,566
11,763
11,858
11,862
12,189
12,548
12,646
12,673
12,677
12,755
12,827
12,927
12,947
12,985
13,37
13,92
13,356
13,606
13,692
13,715
13,746
13,755
13,765
13,809
13,891
13,935
14,56
14,279
14,507
14,600
14,696
14,697
14,712
14,822
14,975
15,44
15,76
15,86
15,219
15,288
15,447
15,468
15,503
15,641
15,758
15,787
15,798
15,845
15,852
16,73
16,74
16,165
16,541
16,670
16,728
16,759
16,817
16,870
16,883
16,959
17,52
17,178
17,243
17,279
17,308
17,336
17,854
18,101
18,251
18,262
18,340
18,363
18,491
18,533
18,539
18,622
18,628
18,693
18,972
19,68
19,136
19,180
19,181
19,293
19,468
19,496
19,514
19,768
20,78
20,132
20,241
20,333
20,467
20,545
20,552
20,729
20,806
20,827
20,853
20,882
21,112
21,478
21,570
21,651
22,144
22,155
22,221
22,326
22,686
22,940
23,131
23,191
23,281
23,377
23,435
23,517
23,532
23,672
23,695
23,973
24,249
24,275
24,455
24,475
24,631
24,685
24,708
24,783
24,829
24,873
24,942
25,41
25,122
25,175
25,185
25,224
25,251
25,403
25,416
25,534
25,560
25,603
25,604
25,641
26,104
26,124
26,155
26,201
26,233
26,470
26,507
26,538
26,832
26,905
27,181
27,426
27,427
27,977
28,62
28,203
28,216
28,327
28,377
28,418
28,453
28,532
28,631
28,754
29,149
29,617
29,699
29,758
30,170
30,214
30,354
30,437
30,612
30,655
30,891
31,469
31,533
31,541
31,684
31,907
31,933
31,982
31,990
32,45
32,96
32,213
32,370
32,554
32,622
32,741
32,765
33,39
33,58
33,76
33,114
33,157
33,291
33,483
33,622
33,891
33,985
34,133
34,200
34,276
34,301
34,344
34,455
34,481
34,522
34,629
34,766
34,800
34,810
34,863
34,911
34,920
35,208
35,266
35,281
35,437
35,439
35,534
35,581
35,655
35,847
35,955
36,37
36,202
36,371
36,493
36,687
36,743
36,972
37,149
37,607
37,614
37,684
37,698
38,154
38,187
38,406
38,476
38,513
38,946
38,949
39,151
39,343
39,351
39,423
39,493
39,556
39,623
39,653
39,684
39,728
39,731
39,858
39,893
39,970
40,144
40,212
40,473
40,527
40,556
40,695
40,716
40,736
40,785
40,946
41,126
41,309
41,369
41,537
41,553
41,787
41,866
41,924
42,142
42,291
42,331
42,401
42,484
42,529
42,624
42,725
42,779
42,974
43,101
43,228
43,318
43,411
43,474
43,574
43,784
43,802
43,871
43,898
43,905
43,964
44,98
44,227
44,430
44,575
44,599
44,647
44,741
44,843
44,858
44,975
45,215
45,268
45,376
45,416
45,428
45,699
45,814
45,999
46,52
46,131
46,238
46,243
46,285
46,320
46,445
46,516
46,596
46,785
46,793
46,855
46,931
47,267
47,356
47,727
47,747
47,791
47,887
48,66
48,203
48,248
48,275
48,296
48,337
48,495
48,578
48,666
48,857
48,863
48,973
49,64
49,90
49,136
49,142
49,713
49,745
49,820
49,831
49,889
49,914
50,253
50,507
50,591
50,611
50,660
50,800
50,951
51,134
51,189
51,258
51,521
51,537
51,569
51,697
51,709
51,759
51,875
51,975
52,83
52,492
52,513
52,936
52,972
53,301
53,511
53,546
53,709
53,711
53,874
53,883
53,963
54,174
54,340
54,427
54,443
54,680
54,893
54,924
54,992
55,127
55,242
55,325
55,493
55,759
55,783
55,802
55,803
55,886
56,586
56,687
56,869
56,898
57,74
57,84
57,86
57,231
57,289
57,342
57,343
57,358
57,545
57,595
57,709
57,718
57,735
57,827
57,992
58,270
58,305
58,347
58,428
58,524
58,610
58,661
58,666
58,747
58,777
59,83
59,104
59,351
59,459
59,646
59,898
60,117
60,138
60,174
60,352
60,601
60,806
60,810
60,899
60,942
61,204
61,279
61,442
61,481
61,484
61,667
62,477
62,522
62,609
62,620
62,654
62,735
62,737
62,875
62,904
62,939
62,966
63,143
63,280
63,321
63,343
63,369
63,577
63,673
63,730
63,738
63,750
63,814
63,890
63,915
63,950
64,82
64,318
64,462
64,672
64,723
64,914
64,931
64,979
65,83
65,194
65,669
65,841
65,855
66,145
66,154
66,650
67,68
67,176
67,232
67,262
67,329
67,330
67,364
67,500
67,564
67,573
67,674
67,752
67,902
67,907
67,951
67,997
68,161
68,233
68,285
68,321
68,330
68,412
68,561
68,726
68,823
68,930
68,984
69,91
69,196
69,416
69,453
69,592
69,953
70,83
70,222
70,311
70,321
70,356
70,371
70,407
70,507
70,510
70,639
70,712
70,729
70,810
70,851
70,941
70,991
71,104
71,133
71,223
71,241
71,419
71,483
71,507
71,700
71,792
71,893
71,913
72,159
72,168
72,178
72,194
72,237
72,329
72,344
72,417
72,584
72,608
72,613
72,772
72,782
72,805
72,966
72,985
73,268
73,363
73,542
73,827
74,121
74,168
74,169
74,281
74,367
74,458
74,460
74,471
74,489
74,694
74,813
