src,dst
8,11
8,13
8,15
8,16
8,19
8,28
8,29
8,32
8,34
8,38
8,39
8,46
8,48
8,58
8,59
8,64
8,73
8,79
8,80
8,102
8,114
8,118
8,124
8,135
8,153
8,174
8,181
8,204
8,206
8,220
8,224
8,243
8,252
8,264
8,280
8,292
8,325
8,350
8,384
8,429
8,438
8,532
8,562
8,573
8,581
8,595
8,635
8,643
8,660
8,672
8,680
8,681
8,737
8,772
8,773
8,818
8,890
8,892
8,916
8,946
8,982
8,992
15,16
15,30
15,39
15,48
15,61
15,83
15,84
15,92
15,94
15,99
15,101
15,131
15,147
15,148
15,157
15,169
15,173
15,186
15,218
15,229
15,239
15,242
15,253
15,256
15,284
15,299
15,304
15,310
15,339
15,353
15,356
15,357
15,359
15,369
15,380
15,405
15,472
15,473
15,482
15,490
15,497
15,504
15,516
15,535
15,556
15,587
15,597
15,603
15,605
15,652
15,662
15,716
15,742
15,748
15,790
15,802
15,855
15,874
15,878
15,887
15,925
15,980
15,986
16,17
16,29
16,30
16,33
16,42
16,51
16,52
16,55
16,59
16,66
16,95
16,121
16,129
16,134
16,157
16,175
16,277
16,289
16,295
16,366
16,505
16,543
16,564
16,666
16,714
16,841
16,914
16,916
16,931
16,944
16,962
16,979
17,18
17,25
17,60
17,104
17,117
17,126
17,132
17,152
17,210
17,223
17,250
17,273
17,278
17,302
17,322
17,328
17,351
17,362
17,394
17,408
17,421
17,435
17,470
17,511
17,569
17,598
17,706
17,734
17,869
17,997
19,25
19,33
19,58
19,60
19,70
19,76
19,82
19,91
19,101
19,110
19,118
19,138
19,154
19,159
19,168
19,176
19,204
19,220
19,231
19,252
19,254
19,265
19,267
19,300
19,317
19,358
19,393
19,462
19,492
19,526
19,559
19,647
19,653
19,680
19,701
19,703
19,750
19,770
19,855
19,902
19,993
22,37
22,67
22,85
22,115
22,125
22,149
22,174
22,176
22,192
22,198
22,250
22,273
22,286
22,314
22,320
22,334
22,345
22,351
22,467
22,468
22,507
22,514
22,538
22,549
22,552
22,604
22,651
22,677
22,717
22,850
22,879
22,890
22,931
22,935
26,40
26,42
26,52
26,61
26,69
26,110
26,115
26,131
26,133
26,186
26,194
26,237
26,263
26,361
26,371
26,394
26,404
26,419
26,427
26,439
26,479
26,645
26,662
