src,dst
0,22
0,29
0,50
0,58
0,65
0,93
1,27
1,84
2,15
2,35
2,36
2,40
2,44
2,55
2,56
2,60
3,21
3,25
3,30
3,49
4,12
4,21
4,91
5,22
5,43
5,62
5,63
5,80
5,90
5,98
6,8
6,19
6,25
6,28
6,44
6,58
6,66
6,68
6,75
6,82
7,8
7,39
7,46
7,56
7,66
8,43
8,58
8,74
9,19
9,52
9,62
9,63
10,42
10,49
10,82
11,35
11,47
11,70
11,76
11,80
11,88
12,16
12,29
12,46
12,74
13,16
13,23
13,36
13,39
13,41
13,71
13,84
14,71
14,88
14,91
15,60
15,81
15,86
16,20
16,25
16,50
16,57
17,21
17,28
17,30
17,71
17,82
17,89
17,90
17,98
18,21
18,42
18,48
18,55
18,77
18,82
19,36
19,54
19,56
19,66
19,84
20,34
20,45
20,47
20,86
21,24
21,25
21,40
21,43
21,61
21,65
21,79
21,88
21,99
22,42
22,45
22,61
22,79
22,86
22,87
23,33
23,59
23,71
24,33
24,53
24,60
25,78
25,83
25,99
26,43
26,53
26,65
26,78
28,48
28,55
28,85
29,31
29,37
29,38
29,40
29,52
29,87
29,94
30,39
30,66
31,47
32,36
32,52
32,58
32,64
32,71
32,92
33,87
33,98
34,59
35,66
36,47
36,50
36,60
36,64
36,71
37,50
37,55
37,58
37,61
37,62
37,65
37,79
37,81
37,91
38,58
38,88
40,51
40,75
41,74
41,85
42,50
42,58
42,65
42,82
43,85
43,88
43,92
44,63
46,47
46,65
47,60
47,85
47,86
47,89
48,68
48,72
48,73
48,94
49,58
49,69
49,73
49,99
50,59
51,54
51,85
52,95
52,99
53,80
54,79
54,97
55,59
55,78
56,62
56,67
56,87
57,59
57,66
57,90
58,80
58,93
60,61
60,84
60,88
61,64
61,71
61,73
62,85
63,93
64,75
64,92
65,72
65,74
65,75
65,79
65,81
65,88
65,90
66,97
67,73
68,71
70,81
70,93
71,72
71,98
72,81
72,88
74,79
75,79
75,88
76,83
78,98
79,86
80,88
80,90
82,87
82,96
85,91
87,91
91,99
92,96
94,99
