src,dst
1,6
1,25
1,29
1,61
1,132
1,138
1,147
1,152
1,166
1,182
1,208
1,240
1,244
1,270
1,295
3,9
3,20
3,37
3,82
3,92
3,113
3,134
3,138
3,139
3,142
3,151
3,194
3,198
3,202
3,203
3,224
3,225
3,262
3,269
3,292
4,10
4,17
4,24
4,39
4,40
4,110
4,112
4,116
4,131
4,139
4,170
4,173
4,187
4,226
4,230
4,233
4,283
8,23
8,40
8,53
8,57
8,62
8,127
8,181
8,193
8,235
8,279
8,282
8,292
13,58
13,59
13,60
13,99
13,108
13,131
13,154
13,182
13,200
13,220
13,251
13,253
13,289
13,291
14,34
14,42
14,73
14,94
14,98
14,120
14,145
14,148
14,158
14,176
14,177
14,207
14,254
14,263
14,267
14,279
20,65
20,70
20,72
20,88
20,98
20,103
20,125
20,133
20,135
20,145
20,214
20,215
20,224
20,225
20,244
20,279
20,292
21,43
21,50
21,57
21,60
21,62
21,67
21,93
21,114
21,125
21,136
21,141
21,202
21,286
21,288
21,293
23,28
23,69
23,71
23,76
23,78
23,84
23,92
23,96
23,111
23,143
23,167
23,196
23,199
23,206
23,215
23,235
23,276
23,280
23,291
23,294
23,297
32,39
32,59
32,82
32,126
32,140
32,145
32,147
32,180
32,186
32,210
32,241
32,294
34,41
34,75
34,89
34,110
34,132
34,143
34,148
34,154
34,164
34,165
34,182
34,214
34,249
34,295
39,80
39,92
39,145
39,146
39,177
39,189
39,205
39,210
39,215
39,243
39,247
39,280
40,45
40,56
40,63
40,72
40,80
40,106
40,127
40,135
40,145
40,172
40,177
40,186
40,228
40,248
40,291
43,69
43,136
43,144
43,147
43,159
43,178
43,184
43,214
43,224
43,252
43,270
44,45
44,55
44,92
44,102
44,114
44,117
44,133
44,148
44,160
44,210
44,222
44,226
44,237
44,248
44,268
44,278
44,286
44,296
44,298
47,52
47,64
47,101
47,110
47,125
47,140
47,150
47,182
47,186
47,202
47,219
47,228
47,261
47,276
47,283
47,285
48,55
48,57
48,85
48,101
48,160
48,190
49,90
49,105
49,140
49,161
49,190
49,192
49,237
49,264
50,64
50,75
50,104
50,141
50,180
50,205
50,206
50,225
50,237
50,274
50,276
52,58
52,61
52,69
52,87
52,253
52,261
52,274
52,290
53,70
53,82
53,116
