src,dst
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,10
0,14
0,15
0,16
0,18
0,22
0,25
0,29
0,35
0,40
0,47
0,49
0,51
0,52
0,53
0,55
0,63
0,65
0,67
0,70
0,80
0,81
0,84
0,86
1,4
1,6
1,7
1,9
1,11
1,12
1,15
1,22
1,27
1,31
1,33
1,35
1,38
1,43
1,76
1,86
1,94
2,4
2,5
2,8
2,9
2,12
2,13
2,14
2,22
2,25
2,29
2,37
2,42
2,43
2,44
2,51
2,57
2,65
2,66
2,67
2,72
2,87
2,91
2,96
3,18
3,28
4,5
4,8
4,10
4,11
4,14
4,20
4,21
4,26
4,30
4,34
4,36
4,40
4,48
4,59
4,60
4,83
4,84
5,6
5,7
5,10
5,11
5,12
5,13
5,23
5,33
5,41
5,63
5,76
5,91
6,9
6,20
6,41
6,45
6,48
6,52
7,13
7,16
7,20
7,24
7,25
7,42
7,50
7,58
8,19
8,35
8,39
8,46
8,71
8,80
8,90
9,16
9,24
9,32
9,92
10,19
10,30
10,93
11,15
11,27
11,28
11,30
11,32
11,39
11,49
11,52
11,59
11,61
11,62
11,71
11,82
11,90
12,17
12,23
12,36
12,54
12,58
12,60
12,68
12,88
12,98
13,17
13,24
13,43
13,44
13,51
13,56
13,58
13,66
13,70
13,74
13,83
13,88
13,98
14,17
14,18
14,27
14,29
14,32
14,42
14,45
14,56
15,84
16,54
17,19
17,31
17,46
17,86
18,21
18,50
18,82
18,95
19,23
19,47
19,56
19,79
19,91
20,21
20,26
20,34
20,38
21,26
21,28
21,92
22,33
22,48
22,54
22,60
23,38
23,78
24,47
25,34
25,87
26,36
27,44
27,57
27,62
28,68
28,81
28,82
29,31
29,53
29,80
30,37
30,62
30,63
31,96
32,64
32,77
32,81
32,99
33,41
33,64
33,73
34,39
34,49
35,37
35,45
35,50
35,69
35,70
36,40
36,67
36,73
36,74
36,77
36,85
36,97
37,55
37,75
37,95
38,61
38,69
38,75
38,85
38,87
38,94
39,53
40,76
41,68
44,57
44,72
45,46
45,72
45,79
47,55
47,74
47,75
47,77
48,88
49,59
49,73
49,83
51,61
51,69
52,97
54,85
54,89
54,95
55,71
55,78
56,66
60,64
60,99
61,65
61,96
62,78
66,89
68,99
71,79
74,90
75,94
76,89
80,98
82,92
84,93
87,93
96,97
