src,dst
0,209
0,616
0,754
0,819
0,831
0,959
0,1328
0,1805
0,1875
0,2219
0,2363
0,2488
0,2825
0,3272
0,3340
0,3457
0,3837
0,4128
0,4533
0,4786
1,163
1,179
1,387
1,546
1,733
1,796
1,798
1,829
1,1165
1,1377
1,1631
1,1867
1,1937
1,2119
1,2143
1,2212
1,2315
1,2386
1,2732
1,2948
1,2996
1,3299
1,3525
1,3738
1,3788
1,3829
1,4007
1,4044
1,4144
1,4277
1,4462
1,4910
2,388
2,909
2,1271
2,1407
2,1823
2,1833
2,1841
2,2017
2,2399
2,2487
2,2692
2,2899
2,3066
2,3280
2,3348
2,3500
2,3598
2,3823
2,3872
2,3982
2,4589
2,4752
2,4975
2,4983
3,351
3,600
3,791
3,1260
3,1376
3,1420
3,1475
3,1609
3,1703
3,2521
3,2527
3,2946
3,3782
3,4241
3,4388
3,4778
4,143
4,165
4,365
4,483
4,678
4,891
4,1267
4,1369
4,1412
4,1710
4,1783
4,2224
4,2654
4,2847
4,2856
4,2941
4,2959
4,3534
4,3566
4,3828
4,3880
4,4254
4,4520
4,4845
5,39
5,131
5,301
5,379
5,424
5,457
5,551
5,668
5,852
5,869
5,1089
5,1119
5,1128
5,1328
5,1866
5,1921
5,2018
5,2046
5,2318
5,2379
5,2670
5,2744
5,3034
5,3135
5,3375
5,3871
5,4063
5,4095
5,4502
5,4595
5,4690
6,124
6,742
6,806
6,828
6,1869
6,2046
6,2437
6,2632
6,2778
6,2844
6,3084
6,3240
6,3568
6,3646
6,4232
6,4488
6,4531
6,4670
6,4911
6,4950
6,4967
7,83
7,465
7,492
7,513
7,576
7,591
7,727
7,1294
7,1376
7,1644
7,1828
7,1867
7,2481
7,2673
7,2750
7,2752
7,2885
7,2951
7,3045
7,3051
7,3433
7,3607
7,3907
7,3963
7,4246
7,4394
7,4521
7,4714
7,4957
8,465
8,562
8,593
8,1008
8,1041
8,1150
8,1618
8,1840
8,2329
8,2424
8,2588
8,2835
8,2983
8,3147
8,3323
8,3331
8,3399
8,3599
8,3600
8,3960
8,3975
8,4494
8,4505
9,152
9,967
9,1054
9,1290
9,1443
9,2195
9,2286
9,2348
9,2716
9,2720
9,2773
9,2822
9,3592
9,3967
9,4282
9,4344
9,4636
9,4825
9,4830
10,374
10,567
10,614
10,934
10,1001
10,1450
10,1451
10,1479
10,2576
10,2624
10,2828
10,2830
10,2896
10,3054
10,3265
10,3293
10,3331
10,3441
10,3466
10,3494
10,3715
10,3769
10,3808
10,3941
10,4171
10,4936
11,95
11,157
11,523
11,529
11,572
11,639
11,657
11,719
11,917
11,1046
11,1068
11,2104
11,2337
11,2411
11,2436
11,2443
11,2986
11,3973
11,4029
11,4129
11,4277
11,4789
12,422
12,465
12,729
12,1008
12,1010
12,1042
12,1222
12,1267
12,1743
12,2009
12,2202
12,2740
12,2947
12,3245
12,3472
12,3523
12,3565
12,3663
12,3705
12,4087
12,4530
12,4960
12,4969
13,40
13,440
13,648
13,850
13,1188
13,1208
13,1382
13,1680
13,1718
13,1746
13,1749
13,1924
13,1930
13,2119
13,2261
13,2297
13,2328
13,2725
13,2869
13,3449
13,3600
13,3764
13,4563
13,4585
13,4652
13,4888
14,596
14,714
14,937
14,1140
14,1185
14,1341
14,1447
14,1494
14,1562
14,1792
14,1868
14,2362
14,2380
14,2534
14,2732
14,2766
14,2881
14,3258
14,3272
14,3307
14,3353
14,3975
14,4063
14,4349
14,4519
14,4859
15,160
15,448
15,567
15,661
15,766
15,1020
15,1083
15,1117
15,1325
15,1521
15,1557
15,1974
15,1979
15,1995
15,2152
15,2969
15,3043
15,3129
15,3201
15,3449
15,3513
15,3552
15,3665
15,3709
15,3716
15,3830
15,4029
15,4117
15,4139
15,4210
15,4328
15,4687
15,4713
15,4839
15,4922
16,151
16,298
16,399
16,652
16,1023
16,1026
16,1083
16,1165
16,1276
16,1390
16,1477
16,1550
16,2670
16,2788
16,2940
16,2991
16,3124
16,3595
16,3774
16,3883
16,3965
16,4211
16,4385
16,4590
16,4804
16,4938
16,4961
17,78
17,105
17,164
17,167
17,379
17,648
17,838
17,904
17,1226
17,1309
17,1339
17,1555
17,1886
17,2174
17,2193
17,2406
17,2576
17,2832
17,2924
17,2970
17,3050
17,3352
17,3374
17,3407
17,3444
17,3512
17,3516
17,3968
17,4024
17,4616
17,4875
18,152
18,366
18,533
18,662
18,1178
18,1653
18,2169
18,2228
18,2305
18,2334
18,2468
18,3162
18,3503
18,3512
18,3693
18,3857
18,3907
18,3983
18,4074
18,4076
18,4128
18,4213
18,4384
18,4433
18,4863
19,260
19,424
19,536
19,628
19,1108
19,1451
19,1456
19,1527
19,1533
19,1573
19,1859
19,1964
19,2856
19,3276
19,3778
19,4470
19,4511
19,4621
19,4937
20,202
20,486
20,704
20,815
20,956
20,986
20,1102
20,1120
20,1168
20,1193
20,1326
20,1864
20,1973
20,2038
20,2300
20,2727
