src,dst
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,18
0,19
0,22
0,24
0,26
0,27
0,30
0,35
0,36
0,37
0,38
0,40
0,41
0,42
0,44
0,45
0,46
0,47
0,48
0,49
0,51
0,53
0,54
0,62
0,65
0,66
0,70
0,73
0,76
0,77
0,79
0,81
0,85
0,90
0,91
0,92
0,93
0,95
0,100
0,107
0,109
0,111
0,112
0,117
0,121
0,126
0,131
0,133
0,136
0,142
0,143
0,146
0,148
0,149
0,151
0,156
0,158
0,161
0,171
0,172
0,176
0,187
0,190
0,193
0,202
0,204
0,205
0,207
0,221
0,226
0,227
0,231
0,237
0,243
0,245
0,254
0,260
0,275
0,276
0,282
0,294
0,300
0,307
0,309
0,317
0,326
0,333
0,349
0,353
0,360
0,365
0,380
0,387
0,395
0,410
0,423
0,431
0,446
0,449
0,451
0,457
0,465
0,470
0,471
0,476
0,485
0,486
0,504
0,510
0,516
0,518
0,521
0,531
0,533
0,534
0,552
0,567
0,582
0,583
0,594
0,595
0,601
0,603
0,632
0,638
0,644
0,646
0,654
0,656
0,662
0,666
0,687
0,728
0,731
0,734
0,742
0,747
0,755
0,768
0,808
0,809
0,810
0,825
0,831
0,835
0,855
0,860
0,861
0,870
0,876
0,877
0,880
0,885
0,887
0,906
0,920
0,934
0,946
0,972
0,985
0,987
0,989
0,996
0,1011
0,1026
0,1029
0,1041
0,1044
0,1049
0,1062
0,1067
0,1071
0,1075
0,1081
0,1087
0,1106
0,1111
0,1131
0,1137
0,1138
0,1154
0,1160
0,1193
0,1205
0,1221
0,1237
0,1254
0,1263
0,1286
0,1330
0,1333
0,1348
0,1349
0,1351
0,1354
0,1359
0,1369
0,1372
0,1373
0,1384
0,1393
0,1396
0,1397
0,1408
0,1420
0,1422
0,1424
0,1429
0,1434
0,1435
0,1437
0,1451
0,1452
0,1464
0,1482
0,1502
0,1529
0,1534
0,1536
0,1543
0,1555
0,1576
0,1585
0,1594
0,1602
0,1609
0,1616
0,1655
0,1658
0,1660
0,1663
0,1667
0,1724
0,1799
0,1807
0,1830
0,1859
0,1867
0,1872
0,1887
0,1891
0,1901
0,1969
0,1998
0,2014
0,2025
0,2102
0,2106
0,2129
0,2167
0,2203
0,2212
0,2234
0,2289
0,2308
0,2310
0,2311
0,2313
0,2344
0,2379
0,2387
0,2406
0,2418
0,2427
0,2440
0,2476
0,2506
0,2520
0,2542
0,2546
0,2566
0,2574
0,2582
0,2587
0,2625
0,2632
0,2634
0,2679
0,2736
0,2740
0,2746
0,2753
0,2755
0,2763
0,2799
0,2800
0,2857
0,2880
0,2897
0,2904
0,2913
0,2919
0,2932
0,2951
0,3002
0,3008
0,3022
0,3023
0,3033
0,3039
0,3053
0,3074
0,3084
0,3107
0,3115
0,3123
0,3125
0,3190
0,3206
0,3209
0,3215
0,3218
0,3220
0,3237
0,3240
0,3305
0,3332
0,3348
0,3358
0,3367
0,3389
0,3406
0,3529
0,3547
0,3579
0,3590
0,3593
0,3607
0,3642
0,3648
0,3649
0,3677
0,3695
0,3700
0,3730
0,3763
0,3768
0,3800
0,3873
0,3874
0,3878
0,3879
0,3899
0,3907
0,3910
0,3936
0,3942
0,3950
0,3956
0,3964
0,3973
0,3987
0,3992
0,4006
0,4041
0,4042
0,4103
0,4130
0,4152
0,4158
0,4161
0,4166
0,4176
0,4217
0,4245
0,4267
0,4275
0,4284
0,4298
0,4348
0,4357
0,4361
0,4383
0,4400
0,4411
0,4412
0,4446
0,4456
0,4466
0,4491
0,4497
0,4511
0,4517
0,4520
0,4528
0,4615
0,4626
0,4627
0,4632
0,4685
0,4748
0,4752
0,4757
0,4825
0,4859
0,4870
0,4874
0,4901
0,4915
0,4926
0,4940
1,11
1,12
1,14
1,15
1,17
1,21
1,31
1,72
1,82
1,91
1,100
1,122
1,142
1,147
1,170
1,214
1,230
1,235
1,248
1,263
1,291
1,347
1,403
1,416
1,440
1,443
1,489
1,556
1,558
1,590
1,662
1,681
1,692
1,731
1,832
1,881
1,894
1,905
1,1008
1,1118
1,1180
1,1217
1,1442
1,1519
1,1576
1,1579
1,1665
1,1835
1,1854
1,1905
1,1956
1,1971
1,2035
1,2046
1,2097
1,2178
1,2195
1,2198
1,2261
1,2375
1,2459
1,2599
1,2661
1,2753
1,2807
1,2862
1,2930
1,2957
1,2960
1,2980
1,3044
1,3253
1,3259
1,3295
1,3413
1,3503
1,3613
1,3688
1,3931
1,4037
1,4500
1,4601
1,4702
1,4716
2,11
2,17
2,20
2,39
2,68
2,80
2,81
2,96
2,108
2,118
2,123
2,137
2,168
2,176
2,199
2,215
2,221
2,241
2,275
2,277
2,288
2,297
2,298
2,324
2,339
2,458
2,495
2,522
2,587
2,592
2,647
2,721
2,1015
2,1196
2,1290
2,1307
2,1414
2,1426
2,1443
2,1457
2,1551
2,1706
2,1824
2,1852
2,1886
2,1988
2,1995
2,2031
2,2210
2,2335
2,2404
2,2418
2,2451
2,2471
2,2571
2,2756
2,2779
2,3145
2,3188
2,3250
2,3257
2,3382
2,3401
2,3423
2,3650
2,3679
2,3796
2,3809
2,3839
2,3848
2,3867
2,4123
2,4138
2,4155
2,4273
2,4290
2,4338
2,4440
2,4568
2,4662
2,4753
2,4801
3,11
3,12
3,13
3,15
3,16
3,20
3,25
3,29
3,33
3,60
3,61
3,62
3,123
3,177
3,193
3,220
3,257
3,295
3,337
3,434
3,457
3,485
3,590
3,594
3,604
3,615
3,668
3,690
3,695
3,722
3,735
3,822
3,901
3,914
3,1027
3,1051
3,1100
3,1111
3,1125
3,1129
3,1144
3,1257
3,1350
3,1364
3,1401
3,1472
3,1473
3,1581
3,1638
3,1684
3,1719
3,1736
3,1758
3,1868
3,2003
3,2163
3,2309
3,2704
3,2752
3,2806
3,2820
3,3032
3,3138
3,3243
3,3251
3,3265
3,3678
3,3833
3,3958
3,4226
3,4390
3,4793
3,4840
4,11
4,12
4,13
4,14
4,15
4,16
4,17
4,18
4,22
4,23
4,25
4,28
4,41
4,47
4,50
4,72
4,73
4,79
4,83
4,105
4,107
4,156
4,201
4,203
4,205
4,213
4,235
4,236
4,240
4,256
4,275
4,295
4,325
4,331
4,349
4,353
4,367
4,370
4,404
4,486
4,504
4,510
4,511
4,530
4,531
4,535
4,553
4,573
4,575
4,589
4,594
4,602
4,614
4,633
4,656
4,736
4,753
4,775
4,783
4,800
4,848
4,869
4,902
4,916
4,930
4,949
4,982
4,984
4,1001
4,1037
4,1157
4,1297
4,1360
4,1409
4,1462
4,1468
4,1569
4,1744
4,1749
4,1784
4,1973
4,2003
4,2033
4,2034
4,2136
4,2138
4,2145
4,2194
4,2210
4,2230
4,2245
4,2273
4,2313
4,2389
4,2390
4,2423
4,2428
4,2462
4,2474
4,2519
4,2527
4,2565
4,2621
4,2623
4,2669
4,2847
4,2865
4,2969
4,3024
4,3083
4,3115
4,3154
4,3165
4,3235
4,3273
