src,dst
0,250
0,604
0,636
0,712
0,827
0,968
0,985
1,52
1,440
1,445
1,584
1,618
1,802
2,62
2,126
2,129
2,135
2,206
2,421
2,433
2,451
2,555
2,563
2,592
2,676
2,761
3,88
3,200
3,411
3,487
3,599
3,685
3,717
3,740
3,743
3,785
3,858
3,876
4,75
4,148
4,203
4,250
4,334
4,382
4,392
4,402
4,426
4,711
4,728
5,80
5,190
5,215
5,248
5,287
5,316
5,485
5,488
5,706
5,765
6,22
6,83
6,131
6,313
6,322
6,428
6,497
6,549
6,582
6,741
6,745
6,908
7,172
7,212
7,302
7,396
7,630
7,637
7,805
7,835
7,874
7,887
7,947
8,404
8,523
8,556
8,574
8,759
8,785
8,829
8,915
9,48
9,85
9,190
9,239
9,436
9,445
9,578
9,663
10,112
10,116
10,325
10,338
10,457
10,529
10,584
10,728
10,799
10,994
11,130
11,183
11,287
11,310
11,317
11,403
11,458
11,529
11,596
11,620
11,808
11,976
12,83
12,116
12,333
12,877
13,362
13,398
13,452
13,681
13,946
14,44
14,270
14,322
14,396
14,401
14,581
14,596
14,658
14,792
14,932
14,934
14,988
15,339
15,523
15,576
15,725
16,47
16,60
16,229
16,325
16,332
16,340
16,448
16,542
16,687
16,817
16,905
17,91
17,114
17,178
17,276
17,344
17,353
17,412
17,530
17,628
17,638
17,761
17,808
17,999
18,47
18,117
18,118
18,125
18,159
18,204
18,345
18,470
18,619
18,633
18,696
18,826
18,924
19,219
19,258
19,264
19,288
19,374
19,711
19,854
19,879
19,883
19,944
19,974
20,143
20,218
20,468
20,620
20,688
20,741
20,936
21,80
21,136
21,158
21,198
21,327
21,440
21,457
21,777
21,827
22,75
22,230
22,515
22,530
22,682
22,845
22,910
23,125
23,441
23,547
23,831
24,56
24,202
24,561
24,734
24,738
24,777
24,859
24,888
25,72
25,118
25,213
25,396
25,495
25,548
25,632
25,973
26,308
26,454
26,469
26,483
26,606
26,669
26,686
26,836
26,932
26,951
26,994
27,318
27,364
27,381
27,402
27,541
27,578
27,638
27,724
27,807
28,36
28,238
28,264
28,359
28,379
28,442
28,664
28,702
28,899
28,959
29,122
29,233
29,412
29,428
29,594
29,674
29,690
29,707
29,728
29,828
30,228
30,258
30,434
30,528
30,597
30,630
31,147
31,247
31,248
31,282
31,284
31,297
31,415
31,637
32,315
32,401
32,641
32,873
33,106
33,146
33,188
33,746
33,872
33,921
33,950
34,103
34,195
34,296
34,413
34,515
34,633
34,692
34,750
34,958
35,307
35,320
35,367
35,394
35,409
35,481
35,484
35,505
35,658
35,807
35,861
35,910
36,95
36,203
36,226
36,268
36,400
36,604
36,858
36,884
36,890
36,925
37,42
37,143
37,177
37,183
37,236
37,367
37,439
37,999
38,323
38,339
38,479
38,616
38,696
38,699
38,731
38,768
38,909
38,941
39,141
39,167
39,257
39,456
39,509
39,616
39,618
39,634
39,704
39,812
39,991
40,50
40,281
40,320
40,333
40,341
40,355
40,433
40,495
40,556
40,662
40,711
40,827
40,843
40,905
41,90
41,236
41,242
41,425
41,438
41,466
41,475
41,504
41,563
41,649
41,660
41,666
41,760
41,944
42,107
42,234
42,444
42,514
42,577
42,875
42,984
43,78
43,336
43,644
43,773
43,780
43,890
43,933
44,83
44,106
44,222
44,338
44,370
44,430
44,540
44,577
44,603
44,668
44,852
45,153
45,170
45,199
45,426
45,433
45,461
45,519
46,111
46,119
46,169
46,599
46,710
46,783
46,797
46,944
47,148
47,392
47,404
47,517
47,612
47,698
47,819
48,51
48,55
48,126
48,283
48,478
48,526
48,552
48,651
49,61
49,247
49,609
49,757
49,935
49,996
50,160
50,224
50,315
50,371
50,406
50,412
50,414
50,612
50,623
50,766
50,939
51,148
51,392
51,425
51,607
51,663
51,678
51,714
51,720
51,988
52,81
52,197
52,263
52,414
52,512
52,594
52,600
52,768
52,887
52,933
52,934
52,947
52,965
52,968
53,128
53,140
53,283
53,390
53,553
53,744
54,229
54,269
54,424
54,513
54,775
55,159
55,366
55,394
55,423
55,635
55,662
55,677
55,688
55,749
55,795
55,871
55,936
55,953
56,75
56,177
56,191
56,219
56,292
56,342
56,372
56,445
56,484
56,560
56,566
56,617
56,633
56,717
56,944
56,974
57,151
57,231
57,355
57,538
57,702
57,770
57,785
57,817
58,200
58,210
58,319
58,322
58,362
58,366
58,422
58,495
58,569
58,580
58,680
58,714
58,822
58,913
58,946
59,220
59,340
59,421
59,479
59,531
59,843
60,135
60,233
60,369
60,375
60,563
60,575
60,651
60,790
60,807
60,933
60,934
60,964
60,992
60,996
61,69
61,237
61,561
61,578
61,694
61,774
61,814
61,834
61,945
61,954
61,964
62,74
62,214
62,281
62,344
62,524
62,750
62,804
62,912
63,91
63,331
63,517
63,605
63,697
63,907
63,953
64,105
64,106
64,124
64,136
64,246
64,287
64,422
64,501
64,639
64,660
64,709
64,717
65,127
65,436
65,450
65,516
65,761
65,772
65,902
65,938
66,109
66,241
66,252
66,300
66,421
66,434
66,657
66,870
66,925
67,153
67,161
67,175
67,564
67,582
67,653
67,808
67,981
68,86
68,104
68,181
68,414
68,474
68,484
68,567
69,76
69,166
69,171
69,230
69,362
69,385
69,391
69,499
69,517
69,711
69,761
69,800
69,936
69,948
70,189
70,401
70,513
70,576
70,584
70,597
70,787
70,839
70,859
70,904
70,983
71,175
71,206
71,281
71,353
71,483
71,546
71,602
71,736
71,813
71,877
71,902
71,942
71,992
72,134
72,203
72,342
72,405
72,688
72,701
72,725
72,790
73,146
73,199
73,208
73,218
73,291
73,304
73,420
73,689
73,745
73,850
73,924
73,989
73,993
74,238
74,248
74,298
74,406
74,459
74,499
74,501
74,799
74,815
74,877
75,236
75,316
75,417
75,443
75,513
75,527
75,536
75,562
75,695
75,718
75,762
75,794
75,840
75,891
76,257
76,362
76,398
76,439
76,491
76,494
76,503
76,552
76,740
76,796
76,916
76,940
77,120
77,234
77,272
77,623
77,631
77,693
77,705
77,962
77,966
78,272
78,340
78,404
78,494
78,671
78,683
78,736
78,822
78,840
79,163
79,188
79,253
79,303
79,320
79,397
79,867
79,881
79,966
79,985
80,108
80,119
80,369
80,405
80,535
80,767
80,826
80,842
81,258
81,376
81,385
81,393
81,394
81,598
81,825
81,834
81,937
82,380
82,432
