src,dst
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,16
0,17
0,18
0,19
0,21
0,25
0,26
0,29
0,30
0,31
0,33
0,35
0,37
0,40
0,45
0,48
0,61
0,63
0,75
0,76
0,87
0,126
0,127
0,131
0,143
0,158
0,170
0,177
0,210
0,222
0,230
0,252
0,268
0,291
0,315
0,316
0,349
0,351
0,354
0,359
0,370
0,392
0,433
0,442
0,468
0,471
0,530
0,548
0,556
0,566
0,587
0,604
0,608
0,615
0,617
0,644
0,660
0,677
0,686
0,689
0,722
0,762
0,786
0,789
0,800
0,807
0,817
0,818
0,836
0,839
0,913
0,960
0,979
1,6
1,20
1,25
1,28
1,59
1,141
1,228
1,292
1,299
1,303
1,402
1,425
1,461
1,576
1,649
2,7
2,9
2,20
2,21
2,28
2,52
2,54
2,289
2,349
2,361
2,898
2,940
2,950
3,6
3,8
3,28
3,29
3,40
3,55
3,68
3,72
3,74
3,75
3,77
3,80
3,84
3,106
3,135
3,162
3,166
3,191
3,210
3,263
3,268
3,288
3,289
3,311
3,373
3,421
3,432
3,473
3,482
3,499
3,570
3,578
3,618
3,670
3,737
3,740
3,770
3,815
3,862
3,901
4,6
4,7
4,13
4,14
4,16
4,21
4,27
4,32
4,35
4,38
4,66
4,76
4,85
4,102
4,122
4,129
4,131
4,156
4,157
4,161
4,188
4,200
4,203
4,216
4,267
4,282
4,286
4,301
4,312
4,322
4,375
4,395
4,450
4,451
4,459
4,484
4,545
4,558
4,561
4,591
4,613
4,628
4,635
4,641
4,693
4,698
4,728
4,745
4,759
4,766
4,779
4,832
4,838
4,860
4,866
4,867
4,874
4,907
4,935
5,6
5,7
5,8
5,10
5,11
5,12
5,19
5,20
5,34
5,35
5,49
5,61
5,74
5,78
5,94
5,96
5,110
5,119
5,130
5,158
5,177
5,180
5,233
5,253
5,296
5,307
5,310
5,318
5,322
5,357
5,372
5,427
5,433
5,443
5,450
5,539
5,565
5,574
5,597
5,640
5,672
5,730
5,775
5,778
5,782
5,788
5,817
5,820
5,869
5,879
5,887
5,945
6,7
6,8
6,9
6,10
6,11
6,12
6,13
6,14
6,15
6,16
6,17
6,18
6,19
6,20
6,21
6,22
6,24
6,25
6,27
6,30
6,41
6,42
6,44
6,47
6,50
6,52
6,54
6,58
6,62
6,65
6,68
6,75
6,82
6,84
6,87
6,88
6,93
6,101
6,112
6,115
6,118
6,127
6,132
6,136
6,147
6,159
6,161
6,164
6,168
6,174
6,181
6,185
6,187
6,189
6,192
6,194
6,197
6,229
6,233
6,242
6,250
6,251
6,259
6,267
6,269
6,278
6,281
6,292
6,293
6,296
6,315
6,322
6,348
6,357
6,363
6,367
6,368
6,369
6,374
6,379
6,391
6,394
6,395
6,396
6,402
6,414
6,421
6,434
6,437
6,449
6,459
6,463
6,465
6,468
6,477
6,486
6,491
6,505
6,506
6,507
6,521
6,528
6,532
6,540
6,542
6,565
6,568
6,569
6,577
6,590
6,595
6,614
6,624
6,627
6,633
6,647
6,680
6,683
6,684
6,685
6,726
6,729
6,757
6,778
6,794
6,803
6,869
6,873
6,879
6,885
6,892
6,911
6,912
6,916
6,921
6,948
6,967
6,968
6,974
7,8
7,9
7,10
7,12
7,14
7,16
7,20
7,21
7,22
7,26
7,32
7,43
7,46
7,50
7,53
7,57
7,64
7,67
7,68
7,81
7,84
7,86
7,97
7,100
7,110
7,118
7,131
7,151
7,152
7,153
7,166
7,175
7,182
7,183
7,185
7,186
7,204
7,206
7,216
7,219
7,221
7,223
7,236
7,239
7,248
7,250
7,257
7,287
7,292
7,295
7,307
7,309
7,329
7,330
7,351
7,393
7,400
7,404
7,417
7,418
7,419
7,420
7,431
7,452
7,472
7,482
7,483
7,524
7,533
7,544
7,546
7,557
7,560
7,562
7,596
7,612
7,624
7,628
7,640
7,662
7,673
7,688
7,704
7,712
7,731
7,739
7,742
7,779
7,788
7,790
7,793
7,877
7,905
7,928
7,931
7,933
7,948
7,956
8,9
8,13
8,14
8,18
8,19
8,22
8,26
8,51
8,73
8,74
8,76
8,80
8,91
8,93
8,95
8,98
8,140
8,158
8,163
8,178
8,196
8,199
8,205
8,227
8,255
8,267
8,271
8,285
8,305
8,323
8,347
8,358
8,369
8,396
8,429
8,459
8,502
8,507
8,529
8,533
8,550
8,563
8,667
8,677
8,749
8,750
8,782
8,814
8,829
8,836
8,883
8,886
8,888
8,910
9,10
9,11
9,15
9,18
9,19
9,24
9,28
9,33
9,36
9,39
9,46
9,73
9,92
9,99
9,135
9,154
9,190
9,225
9,232
9,272
9,285
9,288
9,395
9,403
9,446
9,452
9,473
9,479
9,483
9,487
9,540
9,554
9,560
9,592
9,631
9,654
9,656
9,684
9,746
9,790
9,802
9,804
9,819
9,823
9,876
9,928
10,11
10,12
10,14
10,15
10,17
10,18
10,22
10,23
10,28
10,40
10,41
10,43
10,48
10,55
10,56
10,65
10,66
10,70
10,71
10,75
10,79
10,80
10,87
10,88
10,94
10,102
10,108
10,117
10,120
10,149
10,168
10,179
10,193
10,214
10,219
10,226
10,232
10,233
10,238
10,239
10,243
10,247
10,251
10,260
10,261
10,264
10,268
10,272
10,281
10,283
10,297
10,299
10,317
10,368
10,439
10,443
10,445
10,458
10,474
10,495
10,502
10,517
10,545
10,551
10,552
10,591
10,606
10,610
10,611
10,612
10,616
10,643
10,669
10,689
10,696
10,712
10,714
10,722
10,723
10,739
10,796
10,869
10,902
10,906
10,910
10,933
10,938
10,958
10,969
10,974
10,981
10,986
10,995
11,12
11,13
11,23
11,38
11,40
11,89
11,140
11,170
11,209
11,234
11,278
11,302
11,372
11,462
11,466
11,501
11,524
11,538
11,562
11,571
11,593
11,688
11,691
11,724
11,805
11,812
11,817
11,858
11,873
11,905
11,928
11,949
12,13
12,24
12,27
12,33
12,36
12,47
12,50
12,66
12,69
12,81
12,100
12,104
12,105
12,107
12,130
12,135
12,137
12,188
12,201
12,262
12,271
12,276
12,302
12,307
12,320
12,326
12,350
12,365
12,422
12,494
12,528
12,533
12,571
12,600
12,710
12,723
12,770
12,780
12,998
13,15
13,16
13,17
13,32
13,58
13,63
13,67
13,69
13,84
13,88
13,100
13,104
13,105
13,114
13,121
13,123
13,147
13,148
13,157
13,162
13,178
13,179
13,183
13,207
13,217
13,231
13,246
13,279
13,294
13,310
13,316
13,321
13,363
13,374
13,385
13,444
13,445
13,446
13,468
13,492
13,519
13,522
13,603
13,700
13,807
13,811
13,816
13,869
14,15
14,17
14,31
14,38
14,49
14,55
14,170
14,181
14,234
14,256
14,337
14,462
14,513
14,566
14,581
14,643
14,663
14,678
14,727
14,739
14,748
14,789
14,806
14,871
14,914
14,938
15,23
15,24
15,29
15,32
15,34
15,60
15,64
15,73
15,74
15,93
15,98
15,128
15,191
15,209
15,225
15,303
15,407
15,408
15,436
15,568
15,599
15,619
15,634
15,668
15,704
15,711
15,721
15,900
15,948
15,991
16,30
16,31
16,35
16,36
16,51
16,78
16,79
