src,dst
0,21
1,3
1,6
1,10
1,13
1,20
1,25
1,31
1,36
1,39
1,43
1,44
1,59
2,19
2,42
2,65
2,76
2,86
3,33
3,54
3,59
4,53
4,80
4,85
4,86
4,87
5,23
5,37
5,57
5,81
6,73
6,84
7,34
7,64
7,66
7,85
7,93
8,17
8,23
8,37
8,45
8,49
8,51
8,69
8,83
8,96
9,46
9,60
9,69
9,83
9,84
10,19
10,30
10,35
10,37
10,38
10,59
10,82
11,30
11,50
11,60
11,82
11,84
11,85
12,29
12,40
12,59
12,62
12,78
12,97
13,65
13,70
13,80
13,98
14,50
15,55
15,81
15,89
16,31
16,51
16,61
17,23
17,59
17,78
17,84
17,90
17,97
18,69
18,96
19,21
19,47
20,23
20,71
20,92
21,44
22,49
22,52
22,70
22,93
23,54
23,71
23,77
24,25
24,95
25,37
25,60
25,63
25,70
25,90
27,28
27,57
27,58
27,59
27,90
28,33
28,53
28,67
29,54
29,82
29,92
29,99
30,50
30,76
31,33
31,34
31,48
31,53
31,54
32,45
32,48
32,54
32,63
33,59
33,75
33,96
34,79
34,93
35,91
35,97
36,38
37,60
37,89
37,96
38,52
38,77
38,79
38,88
38,91
39,68
39,86
40,79
40,81
40,98
41,54
41,68
42,75
42,91
43,72
44,50
44,75
44,89
45,86
46,61
46,77
46,88
47,49
47,68
47,98
47,99
48,69
48,87
48,96
49,52
49,72
49,99
50,51
50,53
50,79
50,81
50,88
51,61
51,68
52,68
52,69
52,89
53,79
53,82
53,90
53,92
54,73
54,75
54,80
54,93
54,96
55,69
55,86
56,87
57,73
57,82
57,89
58,68
58,86
59,81
60,79
61,81
61,86
61,89
62,64
62,67
62,97
64,69
64,76
64,82
68,78
68,87
68,99
69,88
69,92
69,94
70,80
73,76
73,86
73,87
74,79
76,78
77,95
78,85
78,89
78,92
79,88
80,81
80,84
80,92
80,95
81,89
81,95
83,96
83,98
84,87
84,88
84,89
85,86
85,93
85,98
86,96
87,98
88,99
90,96
94,97
94,99
