src,dst
0,1
0,2
0,3
0,4
0,6
0,8
0,9
0,10
0,13
0,14
0,16
0,20
0,22
0,24
0,25
0,26
0,28
0,29
0,33
0,39
0,41
0,44
0,48
0,49
0,51
0,57
0,63
0,64
0,80
0,81
0,83
0,87
0,93
0,94
0,95
1,5
1,10
1,23
1,34
1,70
2,4
2,5
2,6
2,7
2,14
2,15
2,18
2,22
2,24
2,25
2,31
2,37
2,80
2,81
2,88
2,92
3,4
3,5
3,7
3,11
3,16
3,17
3,24
3,25
3,30
3,31
3,32
3,33
3,37
3,38
3,42
3,52
3,61
3,65
3,94
4,8
4,36
4,43
4,44
4,68
5,6
5,7
5,9
5,21
5,30
5,31
5,69
5,89
6,75
6,90
7,8
7,10
7,15
7,28
7,36
7,42
7,48
7,52
7,53
7,58
7,68
7,74
7,77
7,81
7,85
7,88
7,92
8,9
8,11
8,12
8,13
8,29
8,35
8,41
8,64
8,78
8,79
9,12
9,13
9,15
9,17
9,20
9,22
9,26
9,29
9,33
9,34
9,37
9,39
9,42
9,51
9,53
9,57
9,60
9,75
9,77
9,79
9,83
9,84
9,87
10,11
10,12
10,14
10,18
10,21
10,43
10,51
10,78
10,90
10,91
11,72
11,73
12,19
12,23
12,61
12,96
13,16
13,17
13,19
13,20
13,27
13,34
13,38
13,43
13,45
13,46
14,18
14,40
14,41
14,47
14,55
14,60
15,27
15,44
15,71
16,19
16,26
16,27
16,30
16,35
16,40
16,50
16,54
16,56
16,62
16,74
16,86
16,99
17,23
17,45
17,86
17,99
18,35
18,40
18,48
18,58
18,91
19,21
20,55
20,69
20,93
21,70
22,45
23,28
23,36
23,46
23,57
24,32
24,59
24,64
24,84
24,85
25,74
26,32
26,46
27,53
27,97
28,90
29,39
29,70
30,56
30,62
30,68
30,99
31,66
32,47
32,58
32,96
34,38
34,59
34,65
34,89
34,94
35,52
36,49
36,50
36,66
36,83
36,86
37,60
38,54
38,56
38,79
38,95
39,62
40,49
40,54
40,61
40,65
41,50
41,55
42,47
42,77
42,91
43,75
44,71
45,59
45,67
45,76
45,98
47,73
47,95
48,92
49,85
50,66
50,72
50,82
52,69
52,76
52,87
53,63
53,73
54,88
56,76
60,63
60,97
62,67
62,71
62,72
62,97
63,67
71,78
73,82
73,84
76,82
77,98
79,80
79,96
85,93
87,89
94,98
